patient_id,pre_contrast_phase,peak_enhancement_phase,selected_slice,peak_mean_intensity,normalisation_mean,normalisation_std,normalisation_source,phase_intensities
DUKE_001,0,1,61,123.33114624023438,107.41197111387145,219.96180796527074,global,Phase 0: 47.21; Phase 1: 123.33; Phase 2: 118.14; Phase 3: 115.95; Phase 4: 111.36
DUKE_002,0,2,73,1769.6600341796875,107.41197111387145,219.96180796527074,global,Phase 0: 1012.20; Phase 1: 1647.54; Phase 2: 1769.66; Phase 3: 1543.41
DUKE_005,0,2,65,346.84906005859375,107.41197111387145,219.96180796527074,global,Phase 0: 151.82; Phase 1: 302.64; Phase 2: 346.85; Phase 3: 346.06
DUKE_009,0,3,77,1812.28515625,107.41197111387145,219.96180796527074,global,Phase 0: 675.91; Phase 1: 1568.52; Phase 2: 1751.08; Phase 3: 1812.29
DUKE_010,0,2,29,3289.57763671875,107.41197111387145,219.96180796527074,global,Phase 0: 1236.37; Phase 1: 3149.68; Phase 2: 3289.58; Phase 3: 3265.96
DUKE_012,0,3,114,3512.247802734375,107.41197111387145,219.96180796527074,global,Phase 0: 1414.43; Phase 1: 3357.16; Phase 2: 3497.67; Phase 3: 3512.25
DUKE_019,0,3,84,430.51708984375,107.41197111387145,219.96180796527074,global,Phase 0: 210.60; Phase 1: 404.02; Phase 2: 423.77; Phase 3: 430.52
DUKE_021,0,2,59,2666.618408203125,107.41197111387145,219.96180796527074,global,Phase 0: 1246.22; Phase 1: 2362.27; Phase 2: 2666.62; Phase 3: 2592.90
DUKE_022,0,1,98,214.0524444580078,107.41197111387145,219.96180796527074,global,Phase 0: 88.04; Phase 1: 214.05; Phase 2: 213.79; Phase 3: 209.16; Phase 4: 203.22
DUKE_028,0,2,90,315.17437744140625,107.41197111387145,219.96180796527074,global,Phase 0: 110.79; Phase 1: 309.32; Phase 2: 315.17; Phase 3: 310.31
DUKE_032,0,4,61,1935.9130859375,107.41197111387145,219.96180796527074,global,Phase 0: 1010.63; Phase 1: 1618.22; Phase 2: 1811.46; Phase 3: 1898.33; Phase 4: 1935.91
DUKE_034,0,4,84,4000.420654296875,107.41197111387145,219.96180796527074,global,Phase 0: 1822.17; Phase 1: 3226.30; Phase 2: 3667.76; Phase 3: 3900.17; Phase 4: 4000.42
DUKE_040,0,2,74,91.95519256591797,107.41197111387145,219.96180796527074,global,Phase 0: 31.29; Phase 1: 80.30; Phase 2: 91.96; Phase 3: 91.65; Phase 4: 88.14
DUKE_041,0,4,87,4335.44873046875,107.41197111387145,219.96180796527074,global,Phase 0: 1597.33; Phase 1: 3630.73; Phase 2: 4171.50; Phase 3: 4292.49; Phase 4: 4335.45
DUKE_043,0,4,57,3759.279296875,107.41197111387145,219.96180796527074,global,Phase 0: 1713.36; Phase 1: 3435.37; Phase 2: 3729.59; Phase 3: 3606.95; Phase 4: 3759.28
DUKE_044,0,2,50,158.72853088378906,107.41197111387145,219.96180796527074,global,Phase 0: 54.16; Phase 1: 143.25; Phase 2: 158.73; Phase 3: 157.64; Phase 4: 155.88
DUKE_045,0,2,120,1597.15380859375,107.41197111387145,219.96180796527074,global,Phase 0: 616.20; Phase 1: 1554.60; Phase 2: 1597.15; Phase 3: 1564.83
DUKE_046,0,3,110,240.23968505859375,107.41197111387145,219.96180796527074,global,Phase 0: 117.93; Phase 1: 198.23; Phase 2: 229.50; Phase 3: 240.24
